created_at,entry_id,field1,field2
2024-10-17 13:32:32 UTC,17755565,12.000000,22.000000
2024-10-17 13:32:48 UTC,17755566,9.000000,41.000000
2024-10-17 13:33:03 UTC,17755567,11.000000,42.000000
2024-10-17 13:33:19 UTC,17755568,25.000000,27.000000
2024-10-17 13:33:35 UTC,17755569,5.000000,13.000000
2024-10-17 13:33:51 UTC,17755570,4.000000,19.000000
2024-10-17 13:34:06 UTC,17755571,5.000000,23.000000
2024-10-17 13:34:22 UTC,17755572,10.000000,30.000000
2024-10-17 13:34:38 UTC,17755573,11.000000,27.000000
2024-10-17 13:34:53 UTC,17755574,19.000000,33.000000
2024-10-17 13:35:09 UTC,17755575,11.000000,27.000000
2024-10-17 13:35:25 UTC,17755576,19.000000,28.000000
2024-10-17 13:35:41 UTC,17755577,20.000000,32.000000
2024-10-17 13:35:57 UTC,17755578,19.000000,26.000000
2024-10-17 13:36:13 UTC,17755579,19.000000,25.000000
2024-10-17 13:36:28 UTC,17755580,15.000000,38.000000
2024-10-17 13:36:44 UTC,17755581,18.000000,35.000000
2024-10-17 13:37:00 UTC,17755582,15.000000,35.000000
2024-10-17 13:37:15 UTC,17755583,11.000000,25.000000
2024-10-17 13:37:31 UTC,17755584,8.000000,13.000000
2024-10-17 13:37:47 UTC,17755585,12.000000,15.000000
2024-10-17 13:38:02 UTC,17755586,7.000000,17.000000
2024-10-17 13:38:18 UTC,17755587,9.000000,22.000000
2024-10-17 13:38:34 UTC,17755588,12.000000,26.000000
2024-10-17 13:38:49 UTC,17755589,8.000000,27.000000
2024-10-17 13:39:05 UTC,17755590,8.000000,23.000000
2024-10-17 13:39:21 UTC,17755591,6.000000,20.000000
2024-10-17 13:39:36 UTC,17755592,10.000000,18.000000
2024-10-17 13:39:52 UTC,17755593,20.000000,36.000000
2024-10-17 13:40:07 UTC,17755594,23.000000,23.000000
2024-10-17 13:40:23 UTC,17755595,20.000000,30.000000
2024-10-17 13:40:39 UTC,17755596,7.000000,18.000000
2024-10-17 13:40:54 UTC,17755597,6.000000,16.000000
2024-10-17 13:41:10 UTC,17755598,17.000000,26.000000
2024-10-17 13:41:26 UTC,17755599,16.000000,27.000000
2024-10-17 13:41:42 UTC,17755600,14.000000,23.000000
2024-10-17 13:41:57 UTC,17755601,22.000000,34.000000
2024-10-17 13:42:13 UTC,17755602,22.000000,29.000000
2024-10-17 13:42:29 UTC,17755603,10.000000,26.000000
2024-10-17 13:42:44 UTC,17755604,15.000000,30.000000
2024-10-17 13:43:00 UTC,17755605,12.000000,31.000000
2024-10-17 13:43:16 UTC,17755606,9.000000,41.000000
2024-10-17 13:43:31 UTC,17755607,10.000000,35.000000
2024-10-17 13:43:47 UTC,17755608,8.000000,33.000000
2024-10-17 13:44:02 UTC,17755609,8.000000,22.000000
2024-10-17 13:44:18 UTC,17755610,12.000000,2.000000
2024-10-17 13:44:33 UTC,17755611,13.000000,20.000000
2024-10-17 13:44:48 UTC,17755612,9.000000,17.000000
2024-10-17 13:45:03 UTC,17755613,6.000000,13.000000
2024-10-17 13:45:19 UTC,17755614,7.000000,20.000000
2024-10-17 13:45:35 UTC,17755615,1.000000,17.000000
2024-10-17 13:45:50 UTC,17755616,9.000000,13.000000
2024-10-17 13:46:06 UTC,17755617,13.000000,13.000000
2024-10-17 13:46:21 UTC,17755618,12.000000,8.000000
2024-10-17 13:46:37 UTC,17755619,11.000000,12.000000
2024-10-17 13:46:52 UTC,17755620,12.000000,9.000000
2024-10-17 13:47:08 UTC,17755621,15.000000,8.000000
2024-10-17 13:47:23 UTC,17755622,11.000000,6.000000
2024-10-17 13:47:39 UTC,17755623,7.000000,15.000000
2024-10-17 13:47:55 UTC,17755624,15.000000,23.000000
2024-10-17 13:48:11 UTC,17755625,12.000000,26.000000
2024-10-17 13:48:26 UTC,17755626,7.000000,26.000000
2024-10-17 13:48:42 UTC,17755627,10.000000,22.000000
2024-10-17 13:48:58 UTC,17755628,12.000000,18.000000
2024-10-17 13:49:13 UTC,17755629,6.000000,18.000000
2024-10-17 13:49:28 UTC,17755630,16.000000,17.000000
